,Node_1,lat,lon,Node_2,lat,lon
81,179462993,56.8320417,60.662998,179460670,56.8321274,60.6549866
82,186369503,56.8420647,60.6784927,186404995,56.8431161,60.6875692
83,175060062,56.8192576,60.5574233,192073543,56.8191767,60.5576495
84,192072558,56.8211593,60.5528614,176267576,56.824926,60.5504491
85,412356843,56.826687,60.543913,192083125,56.8265686,60.5455457
86,192086326,56.8229018,60.5385992,2148632653,56.8221864,60.5394259
87,192156852,56.8191018,60.5382078,4843531472,56.818319,60.5398736
88,412339328,56.8139221,60.5514649,2823802911,56.8138929,60.551624
89,2823802911,56.8138929,60.551624,192105128,56.8132638,60.5552517
90,192116655,56.8052995,60.5764611,192117165,56.8049949,60.5761006
91,192076454,56.8065956,60.5916609,314571916,56.8057541,60.5906644
92,192128662,56.7983171,60.5951635,192117340,56.8018015,60.5857536
93,192138568,56.7962496,60.5959026,192127240,56.7974056,60.5802002
94,192136672,56.805751,60.5579522,192145051,56.8055377,60.5584694
95,175060069,56.8101682,60.546297,412516637,56.8102491,60.5460819
96,412516637,56.8102491,60.5460819,2408070140,56.8121869,60.5409166
97,192127240,56.7974056,60.5802002,192135439,56.8022414,60.5673724
98,192135441,56.8049857,60.5599978,192144682,56.8052792,60.559891
99,192144824,56.8051441,60.5594886,192135441,56.8049857,60.5599978
100,192136672,56.805751,60.5579522,4780933800,56.8094424,60.5481992
101,192145123,56.8057803,60.558495,192136672,56.805751,60.5579522
102,192073549,56.8144504,60.5705269,192116649,56.8098478,60.5644244
103,192134076,56.8020147,60.5851051,192116655,56.8052995,60.5764611
104,192290386,56.8657259,60.5661495,413771080,56.8740577,60.55684
105,413771080,56.8740577,60.55684,176397094,56.8757602,60.554053
106,176397094,56.8757602,60.554053,416547560,56.8759075,60.5537879
107,212641538,56.8192883,60.6196838,3711914797,56.8191555,60.6187783
108,212656908,56.8030515,60.6150844,212652884,56.8051177,60.6256171
109,212656908,56.8030515,60.6150844,212654521,56.8027338,60.6121444
110,2788642078,56.8294776,60.6243497,2429313139,56.8295096,60.6245256
111,2429313139,56.8295096,60.6245256,319524893,56.8301211,60.6302364
112,319524893,56.8301211,60.6302364,220464469,56.8307346,60.636106
113,220403457,56.821901,60.6590712,220465862,56.8227264,60.6569441
114,220469213,56.823413,60.6533238,220469233,56.8230275,60.6542819
115,220470133,56.826097,60.6379331,220470138,56.8257031,60.6421438
116,220497815,56.8390519,60.6114138,220500339,56.8359395,60.6123475
117,179442775,56.8357926,60.612879,220500686,56.835959,60.6126379
118,220533627,56.8100156,60.5466832,485535276,56.8105568,60.5473865
119,220559667,56.8173547,60.5264117,220559672,56.8182566,60.5294243
120,220561270,56.8191723,60.5220754,220561273,56.8212118,60.5283492
121,220561273,56.8212118,60.5283492,220561274,56.821685,60.5298118
122,220563120,56.817476,60.5325661,220561273,56.8212118,60.5283492
123,220561273,56.8212118,60.5283492,192094933,56.8224118,60.5270013
124,220563123,56.8231793,60.5261456,220568918,56.8245836,60.5304543
125,220566408,56.8253476,60.5295474,220563600,56.8243535,60.5267035
126,212638155,56.8161763,60.5920651,1490092440,56.8178078,60.591526
127,220626598,56.8295383,60.5876473,176277596,56.8324717,60.5866573
128,175054407,56.8262935,60.5951527,220659131,56.8300965,60.5936828
129,220659131,56.8300965,60.5936828,793883470,56.8324674,60.5927195
130,554357881,56.822277,60.5012676,456227937,56.822245,60.5006454
131,223291356,56.8245255,60.6011504,220647808,56.8236127,60.5929523
132,220647808,56.8236127,60.5929523,220630798,56.8232496,60.5897318
133,220470133,56.826097,60.6379331,319524908,56.8258387,60.6349039
134,319524908,56.8258387,60.6349039,2916981676,56.8258201,60.6347314
135,2916981676,56.8258201,60.6347314,293106130,56.8249229,60.6261035
136,176195120,56.8168147,60.6206051,212641538,56.8192883,60.6196838
137,225658107,56.8250987,60.6068497,4147377889,56.8240267,60.6072737
138,504317249,56.8293419,60.6637483,2071557279,56.8277958,60.6617058
139,229201118,56.8282096,60.6636241,175266309,56.8284337,60.6629724
140,229201092,56.8255085,60.6808045,229201114,56.8294634,60.6652985
141,229201068,56.8270605,60.6623578,3518828018,56.8239388,60.6746095
142,229201114,56.8294634,60.6652985,229201118,56.8282096,60.6636241
143,230718288,56.8350482,60.6889238,230718286,56.8349075,60.6944669
144,230727778,56.8260829,60.6930893,230726813,56.8265559,60.6931955
145,230726798,56.8242294,60.6904319,230726799,56.8239388,60.6908503
146,4271975656,56.8087795,60.4980459,231270634,56.810389,60.508291
147,176169911,56.7854121,60.6070981,241895609,56.7822816,60.609777
148,241918720,56.8597145,60.5550181,241918829,56.860039,60.5518958
149,241918826,56.8587869,60.5524521,241918829,56.860039,60.5518958
150,241924897,56.8560711,60.5753001,369643527,56.8535278,60.5722284
151,241920422,56.8534525,60.5546619,175075308,56.8565867,60.5518611
152,175075315,56.860785,60.5484989,175075312,56.8594084,60.5502551
153,241919839,56.8588799,60.5483122,175068232,56.8587577,60.5522384
154,241924526,56.8572843,60.5424812,241919962,56.8580661,60.5489771
155,175075308,56.8565867,60.5518611,241924545,56.856998,60.554092
156,241925118,56.8556224,60.5820383,1071004567,56.8572918,60.5943893
157,241925326,56.8708454,60.5497361,416547564,56.870994,60.5493999
158,241918719,56.860153,60.5586612,192290383,56.8665339,60.5601717
159,241927052,56.8709345,60.5138345,175066119,56.862083,60.5442156
160,242545360,56.8757199,60.6109,175394249,56.8757286,60.6113622
161,243796175,56.8630513,60.6045637,1102902717,56.8626594,60.6051078
162,1102902717,56.8626594,60.6051078,412747179,56.8599944,60.6129188
163,175394255,56.8627891,60.6123189,412747181,56.8627727,60.6118305
164,243796233,56.8667349,60.5835773,243796255,56.8702649,60.6030973
165,243796255,56.8702649,60.6030973,175397196,56.8707409,60.6112496
166,243796255,56.8702649,60.6030973,243796257,56.872439,60.603024
167,243796175,56.8630513,60.6045637,243796371,56.8641691,60.5995064
168,243796371,56.8641691,60.5995064,243796233,56.8667349,60.5835773
169,412747179,56.8599944,60.6129188,175394257,56.8600425,60.6131571
170,458757856,56.8255235,60.6910061,1747118031,56.8256585,60.690389
171,4243906366,56.8336267,60.5784365,1271979992,56.8335578,60.5778813
172,293104776,56.792021,60.6530845,293105077,56.7915668,60.6558847
173,293105077,56.7915668,60.6558847,1324540964,56.7915008,60.6563357
174,241893649,56.7965422,60.6385526,914672726,56.7982962,60.6402597
175,293107382,56.823336,60.6112413,212641540,56.8185298,60.6130515
176,412457842,56.8419345,60.573382,316419821,56.8408665,60.5801957
177,319524908,56.8258387,60.6349039,319524896,56.8282445,60.6338564
178,1606501379,56.8568221,60.550097,175031614,56.861844,60.5501632
179,175031614,56.861844,60.5501632,241918728,56.8634973,60.5502797
180,319892986,56.8580249,60.5507901,319892993,56.8587486,60.5503997
181,319892993,56.8587486,60.5503997,175071713,56.859197,60.5502548
182,319893177,56.8521357,60.5498695,175036112,56.8529335,60.5527792
183,319893598,56.8585865,60.6193505,176133255,56.8613001,60.6246661
184,319893904,56.8273634,60.6616325,175266309,56.8284337,60.6629724
185,319893997,56.8248346,60.6585477,319893904,56.8273634,60.6616325
186,176289960,56.8001782,60.6416514,544481056,56.8017046,60.6382087
187,176668360,56.8534603,60.6455713,1645456330,56.8532154,60.6457798
188,1645456305,56.8506295,60.6480454,1645456330,56.8532154,60.6457798
189,176179609,56.8538382,60.6046414,459805088,56.8541242,60.6074847
190,360177510,56.8494225,60.599244,360177588,56.8509577,60.5987992
191,360177589,56.8484673,60.599475,360177510,56.8494225,60.599244
192,1204230031,56.8509623,60.5937601,1667484915,56.8490648,60.5980901
193,360177800,56.8471389,60.602603,360177841,56.8469858,60.6066768
194,360177841,56.8469858,60.6066768,176179621,56.8477879,60.6089538
195,360177589,56.8484673,60.599475,4552081588,56.8479584,60.6006868
196,3207250367,56.8567572,60.6069375,2045030961,56.8572886,60.6068332
197,360177841,56.8469858,60.6066768,1080431991,56.8440219,60.6076381
198,410067526,56.8377636,60.6186353,360181864,56.83601,60.619341
199,360181864,56.83601,60.619341,360181861,56.8291979,60.6218225
200,175397209,56.8571877,60.6119838,360181868,56.8546452,60.612595
201,360181868,56.8546452,60.612595,176184693,56.8484859,60.6147236
202,369643184,56.8536619,60.5819222,369643189,56.8498551,60.588731
203,369643527,56.8535278,60.5722284,369643374,56.8527027,60.5793701
204,341979449,56.8505889,60.6476702,445428494,56.8483882,60.6485137
205,410194944,56.8413012,60.6199232,409740819,56.8428999,60.6193243
206,409740819,56.8428999,60.6193243,409770814,56.8453921,60.6183644
207,409769012,56.8490679,60.6197801,409770816,56.8491717,60.6226159
208,409770816,56.8491717,60.6226159,409770817,56.849192,60.6228456
209,409770817,56.849192,60.6228456,409769019,56.8492778,60.6245967
210,360178196,56.8495384,60.6249994,409769020,56.8495127,60.6244878
211,409769019,56.8492778,60.6245967,409769020,56.8495127,60.6244878
212,409770819,56.8458438,60.6240259,409770817,56.849192,60.6228456
213,409770816,56.8491717,60.6226159,409770819,56.8458438,60.6240259
214,319524896,56.8282445,60.6338564,319524895,56.8279383,60.6311183
215,175127329,56.8409668,60.6259183,409766060,56.8434057,60.6249614
216,409766060,56.8434057,60.6249614,409770819,56.8458438,60.6240259
217,410047434,56.8274783,60.6059228,175048160,56.827404,60.6052596
218,175048160,56.827404,60.6052596,708414883,56.8273603,60.604857
219,410049575,56.8345853,60.6045168,176277603,56.8346737,60.6053199
220,176277603,56.8346737,60.6053199,3291866153,56.835,60.6081533
221,410053827,56.8232763,60.6358527,319524908,56.8258387,60.6349039
222,2916981676,56.8258201,60.6347314,410053830,56.8233611,60.6356687
223,410053827,56.8232763,60.6358527,410053831,56.820975,60.6367938
224,410055100,56.8205112,60.6192747,3700921719,56.8209498,60.6191256
225,176176327,56.8202282,60.6193809,410055100,56.8205112,60.6192747
226,176176328,56.8214792,60.6189257,293106029,56.8223716,60.6271282
227,176195118,56.8174357,60.6283936,176195119,56.817349,60.627183
228,176195119,56.817349,60.627183,176301558,56.8172677,60.6261617
229,176300872,56.8168633,60.6271176,176195119,56.817349,60.627183
230,225604293,56.8236689,60.6145695,410062604,56.8235612,60.613517
231,293107382,56.823336,60.6112413,225658109,56.8229468,60.6077096
232,410062604,56.8235612,60.613517,410062605,56.8235052,60.6127726
233,410062605,56.8235052,60.6127726,293107382,56.823336,60.6112413
234,293107245,56.813911,60.6148142,1802576582,56.814488,60.6202065
235,230710525,56.8235799,60.638887,410053827,56.8232763,60.6358527
236,410053827,56.8232763,60.6358527,293106029,56.8223716,60.6271282
237,293106028,56.8202009,60.6280069,410053831,56.820975,60.6367938
238,410053831,56.820975,60.6367938,176188570,56.8212204,60.6395093
239,710340578,56.8392767,60.6207402,175126202,56.8399301,60.6206105
240,175124189,56.8398992,60.6204012,710340578,56.8392767,60.6207402
241,410194944,56.8413012,60.6199232,175129445,56.8405305,60.6200837
242,175127331,56.8405702,60.62036,410194944,56.8413012,60.6199232
243,803415854,56.8250262,60.6260708,410046808,56.8272227,60.6252551
244,176171245,56.7970897,60.6321631,1153180667,56.7963836,60.632228
245,632375000,56.7802325,60.6481722,410875001,56.7800607,60.6495267
246,192192660,56.8512514,60.6409204,409773017,56.8542477,60.6364088
247,192192660,56.8512514,60.6409204,2112395507,56.851981,60.6424542
248,176188555,56.8439485,60.6311325,179406613,56.843695,60.6279195
249,176668351,56.8440742,60.6322257,1014655166,56.8443567,60.6342324
250,192202829,56.8417351,60.6336461,413451787,56.841674,60.632025
251,176132470,56.8574265,60.6149621,2206889238,56.856531,60.6160461
252,410968174,56.8388128,60.6081,3706390529,56.8390108,60.6107737
253,3858169962,56.8376119,60.596217,410968169,56.8375258,60.5945575
254,1184114912,56.8657368,60.6712754,176668369,56.8674137,60.6748503
255,220961837,56.7814633,60.6554687,990043723,56.7815075,60.6556594
256,414443282,56.8146602,60.5964565,414443279,56.8164961,60.5959683
257,411275021,56.7794418,60.6794694,1111830750,56.7810895,60.6814244
258,539593103,56.788936,60.6741302,449206481,56.7888495,60.6736158
259,449206481,56.7888495,60.6736158,449207223,56.7884113,60.668799
260,449207223,56.7884113,60.668799,411276240,56.7880332,60.6644323
261,412102611,56.7866406,60.6630357,829806254,56.7861438,60.6633766
262,293104775,56.79068,60.6513263,293104776,56.792021,60.6530845
263,293104776,56.792021,60.6530845,1217202930,56.7928685,60.654187
264,411283100,56.7840543,60.6339601,411283095,56.7844337,60.6328274
265,411283092,56.7869421,60.6356144,411283072,56.7865481,60.6367223
266,411286166,56.7880509,60.6383482,411271208,56.7854891,60.6412167
267,411677241,56.8200978,60.6004571,411677243,56.8195967,60.5971022
268,411721999,56.7900096,60.6151964,411722271,56.7900677,60.6135435
269,411722271,56.7900677,60.6135435,175258809,56.7902892,60.6125327
270,411722000,56.7903706,60.6138695,411722271,56.7900677,60.6135435
271,411726836,56.8448426,60.7029186,411726857,56.8436137,60.7302196
272,176188854,56.8181326,60.6392878,3158022307,56.8178988,60.6347752
273,411815606,56.8466786,60.5880632,1853830375,56.8499916,60.5923528
274,1853830375,56.8499916,60.5923528,1853830378,56.85012,60.5925502
275,192228507,56.8362749,60.5821238,412472941,56.8373605,60.5815738
276,412472941,56.8373605,60.5815738,175136127,56.8385513,60.5810777
277,293107245,56.813911,60.6148142,411822909,56.8138392,60.6142119
278,176157983,56.8016177,60.6125774,568020067,56.8010519,60.6123785
279,176157983,56.8016177,60.6125774,212654521,56.8027338,60.6121444
280,241895609,56.7822816,60.609777,179399605,56.780976,60.598387
281,293106028,56.8202009,60.6280069,293106029,56.8223716,60.6271282
282,293106029,56.8223716,60.6271282,293106130,56.8249229,60.6261035
283,225658109,56.8229468,60.6077096,747702513,56.822395,60.6079402
284,225658114,56.8088817,60.6130674,868713895,56.8086679,60.6131448
285,192076452,56.8114346,60.578814,314571441,56.8106346,60.5777774
286,179399605,56.780976,60.598387,411829193,56.7779794,60.5986344
287,175266312,56.8290837,60.6636644,175266317,56.8297923,60.6643736
288,220469234,56.8227753,60.6551971,412224917,56.823153,60.6562369
289,412229308,56.8312933,60.6765799,175271077,56.8313591,60.6732123
290,412229350,56.8311416,60.6716102,412229300,56.830789,60.6690016
291,175271077,56.8313591,60.6732123,412229350,56.8311416,60.6716102
292,175271082,56.8305471,60.6672263,175271084,56.8305658,60.6654145
293,175271080,56.8306003,60.6675984,175271082,56.8305471,60.6672263
294,412229355,56.8306881,60.6682728,175271080,56.8306003,60.6675984
295,179598252,56.847031,60.657399,338186107,56.8466887,60.6544636
296,175127317,56.8433863,60.6472704,175126230,56.843197,60.6473494
297,192144076,56.8151584,60.5714581,3630743527,56.814592,60.5707072
298,469191096,56.8122606,60.5580056,176629104,56.8121889,60.5582128
299,412339331,56.8140863,60.550733,412339328,56.8139221,60.5514649
300,175060062,56.8192576,60.5574233,3674518558,56.8196691,60.5563177
301,192073541,56.8204155,60.5543939,192072558,56.8211593,60.5528614
302,225604300,56.8226265,60.6048618,1615251772,56.8225456,60.6039497
